Rank,Release,Opening_Rev,Total_Gross,Non_opening_rev,% of Total,Theaters,Average_Theatre_Rev,Date,Distributor
1,Avengers: Endgame,357115007,858373000,501257993,41.60,"4,662",76601,"Apr 26, 2019",Walt Disney Studios Motion Pictures
2,Avengers: Infinity War,257698183,678815482,421117299,38,"4,474",57599,"Apr 27, 2018",Walt Disney Studios Motion Pictures
3,Star Wars: Episode VII - The Force Awakens,247966675,936662225,688695550,26.50,"4,134",59982,"Dec 18, 2015",Walt Disney Studios Motion Pictures
4,Star Wars: Episode VIII - The Last Jedi,220009584,620181382,400171798,35.50,"4,232",51987,"Dec 15, 2017",Walt Disney Studios Motion Pictures
5,Jurassic World,208806270,652270625,443464355,32,"4,274",48855,"Jun 12, 2015",Universal Pictures
6,The Avengers,207438708,623357910,415919202,33.30,"4,349",47698,"May 4, 2012",Walt Disney Studios Motion Pictures
7,Black Panther,202003951,700059566,498055615,28.90,"4,020",50249,"Feb 16, 2018",Walt Disney Studios Motion Pictures
8,The Lion King,191770759,543638043,351867284,35.30,"4,725",40586,"Jul 19, 2019",Walt Disney Studios Motion Pictures
9,Avengers: Age of Ultron,191271109,459005868,267734759,41.70,"4,276",44731,"May 1, 2015",Walt Disney Studios Motion Pictures
10,Incredibles 2,182687905,608581744,425893839,30,"4,410",41425,"Jun 15, 2018",Walt Disney Studios Motion Pictures
11,Captain America: Civil War,179139142,408084349,228945207,43.90,"4,226",42389,"May 6, 2016",Walt Disney Studios Motion Pictures
12,Star Wars: Episode IX - The Rise of Skywalker,177383864,515049789,337665925,34.40,"4,406",40259,"Dec 20, 2019",Walt Disney Studios Motion Pictures
13,Beauty and the Beast,174750616,504014165,329263549,34.70,"4,210",41508,"Mar 17, 2017",Walt Disney Studios Motion Pictures
14,Iron Man 3,174144585,409013994,234869409,42.60,"4,253",40946,"May 3, 2013",Walt Disney Studios Motion Pictures
15,Harry Potter and the Deathly Hallows: Part 2,169189427,381011219,211821792,44.40,"4,375",38671,"Jul 15, 2011",Warner Bros.
16,Batman v Superman: Dawn of Justice,166007347,330360194,164352847,50.20,"4,242",39134,"Mar 25, 2016",Warner Bros.
17,The Dark Knight Rises,160887295,448139099,287251804,35.90,"4,404",36532,"Jul 20, 2012",Warner Bros.
18,The Dark Knight,158411483,533345358,374933875,29.70,"4,366",36282,"Jul 18, 2008",Warner Bros.
19,The Hunger Games: Catching Fire,158074286,424668047,266593761,37.20,"4,163",37971,"Nov 22, 2013",Lionsgate
20,Rogue One: A Star Wars Story,155081681,532177324,377095643,29.10,"4,157",37306,"Dec 16, 2016",Walt Disney Studios Motion Pictures
21,Captain Marvel,153433423,426829839,273396416,36,"4,310",35599,"Mar 8, 2019",Walt Disney Studios Motion Pictures
22,The Hunger Games,152535747,408010692,255474945,37.40,"4,137",36871,"Mar 23, 2012",Lionsgate
23,Spider-Man 3,151116516,336530303,185413787,44.90,"4,252",35540,"May 4, 2007",Sony Pictures Releasing
24,Jurassic World: Fallen Kingdom,148024610,417719760,269695150,35.40,"4,475",33078,"Jun 22, 2018",Universal Pictures
25,Furious 7,147187040,353007020,205819980,41.70,"4,004",36760,"Apr 3, 2015",Universal Pictures
26,Guardians of the Galaxy Vol. 2,146510104,389813101,243302997,37.60,"4,347",33703,"May 5, 2017",Walt Disney Studios Motion Pictures
27,The Twilight Saga: New Moon,142839137,296623634,153784497,48.20,"4,024",35496,"Nov 20, 2009",Summit Entertainment
28,The Twilight Saga: Breaking Dawn - Part 2,141067634,292324737,151257103,48.30,"4,070",34660,"Nov 16, 2012",Lionsgate
29,The Twilight Saga: Breaking Dawn - Part 1,138122261,281287133,143164872,49.10,"4,061",34011,"Nov 18, 2011",Summit Entertainment
30,Pirates of the Caribbean: Dead Man's Chest,135634554,423315812,287681258,32,"4,133",32817,"Jul 7, 2006",Walt Disney Studios Motion Pictures
31,Finding Dory,135060273,486295561,351235288,27.80,"4,305",31372,"Jun 17, 2016",Walt Disney Studios Motion Pictures
32,Suicide Squad,133682248,325100054,191417806,41.10,"4,255",31417,"Aug 5, 2016",Warner Bros.
33,Deadpool,132434639,363070709,230636070,36.50,"3,558",37221,"Feb 12, 2016",Twentieth Century Fox
34,Frozen II,130263358,477284992,347021634,27.30,"4,440",29338,"Nov 22, 2019",Walt Disney Studios Motion Pictures
35,Iron Man 2,128122480,312433331,184310851,41,"4,380",29251,"May 7, 2010",Paramount Pictures
36,Deadpool 2,125507153,318491426,192984273,39.40,"4,349",28858,"May 18, 2018",Twentieth Century Fox
37,Harry Potter and the Deathly Hallows: Part 1,125017372,295983305,170965933,42.20,"4,125",30307,"Nov 19, 2010",Warner Bros.
38,It,123403419,327481748,204078329,37.70,"4,103",30076,"Sep 8, 2017",Warner Bros.
39,Thor: Ragnarok,122744989,315058289,192313300,39,"4,080",30084,"Nov 3, 2017",Walt Disney Studios Motion Pictures
40,The Hunger Games: Mockingjay - Part 1,121897634,337135885,215238251,36.20,"4,151",29365,"Nov 21, 2014",Lionsgate
41,Shrek the Third,121629270,322719944,201090674,37.70,"4,122",29507,"May 18, 2007",DreamWorks
42,Toy Story 4,120908065,434038008,313129943,27.90,"4,575",26427,"Jun 21, 2019",Walt Disney Studios Motion Pictures
43,Spider-Man: Homecoming,117027503,334201140,217173637,35,"4,348",26915,"Jul 7, 2017",Sony Pictures Releasing
44,Man of Steel,116619362,291045518,174426156,40.10,"4,207",27720,"Jun 14, 2013",Warner Bros.
45,Alice in Wonderland,116101023,334191110,218090087,34.70,"3,728",31142,"Mar 5, 2010",Walt Disney Studios Motion Pictures
46,Minions,115718405,336045770,220327365,34.40,"4,301",26905,"Jul 10, 2015",Universal Pictures
47,Spider-Man,114844116,403706375,288862259,28.40,"3,615",31768,"May 3, 2002",Sony Pictures Releasing
48,Pirates of the Caribbean: At World's End,114732820,309420425,194687605,37.10,"4,362",26302,"May 25, 2007",Walt Disney Studios Motion Pictures
49,Toy Story 3,110307189,415004880,304697691,26.60,"4,028",27385,"Jun 18, 2010",Walt Disney Studios Motion Pictures
50,Transformers: Revenge of the Fallen,108966307,402111870,293145563,27.10,"4,234",25736,"Jun 24, 2009",DreamWorks
51,Star Wars: Episode III - Revenge of the Sith,108435841,380270577,271834736,28.50,"3,661",29619,"May 19, 2005",Twentieth Century Fox
52,Shrek 2,108037878,441226247,333188369,24.50,"4,163",25951,"May 19, 2004",DreamWorks Distribution
53,The Secret Life of Pets,104352905,368384330,264031425,28.30,"4,370",23879,"Jul 8, 2016",Universal Pictures
54,The Jungle Book,103261464,364001123,260739659,28.40,"4,028",25635,"Apr 15, 2016",Walt Disney Studios Motion Pictures
55,Wonder Woman,103251471,412563408,309311937,25,"4,165",24790,"Jun 2, 2017",Warner Bros.
56,X-Men: The Last Stand,102750665,234362462,131611797,43.80,"3,690",27845,"May 26, 2006",Twentieth Century Fox
57,Harry Potter and the Goblet of Fire,102685961,290013036,187327075,35.40,"3,858",26616,"Nov 18, 2005",Warner Bros.
58,The Hunger Games: Mockingjay - Part 2,102665981,281723902,179057921,36.40,"4,175",24590,"Nov 20, 2015",Lionsgate
59,Indiana Jones and the Kingdom of the Crystal Skull,100137835,317101119,216963284,31.60,"4,260",23506,"May 22, 2008",Paramount Pictures
60,Transformers: Age of Extinction,100038390,245439076,145400686,40.80,"4,233",23632,"Jun 27, 2014",Paramount Pictures
61,The Fate of the Furious,98786705,226008385,127221680,43.70,"4,310",22920,"Apr 14, 2017",Universal Pictures
62,Iron Man,98618668,318604126,219985458,31,"4,105",24024,"May 2, 2008",Paramount Pictures
63,Transformers: Dark of the Moon,97852865,352390543,254537678,27.80,"4,088",23936,"Jun 29, 2011",DreamWorks
64,Fast & Furious 6,97375245,238679850,141304605,40.80,"3,658",26619,"May 24, 2013",Universal Pictures
65,Joker,96202337,335451311,239248974,28.70,"4,374",21994,"Oct 4, 2019",Warner Bros.
66,Captain America: The Winter Soldier,95023721,259766572,164742851,36.60,"3,938",24129,"Apr 4, 2014",Walt Disney Studios Motion Pictures
67,Guardians of the Galaxy,94320883,333176600,238855717,28.30,"4,080",23117,"Aug 1, 2014",Walt Disney Studios Motion Pictures
68,Justice League,93842239,229024295,135182056,41,"4,051",23165,"Nov 17, 2017",Warner Bros.
69,Harry Potter and the Prisoner of Azkaban,93687367,249541069,155853702,37.50,"3,855",24302,"Jun 4, 2004",Warner Bros.
70,Godzilla,93188384,200676069,107487685,46.40,"3,952",23580,"May 16, 2014",Warner Bros.
71,Spider-Man: Far from Home,92579212,390532085,297952873,23.70,"4,634",19978,"Jul 2, 2019",Sony Pictures Releasing
72,The Matrix Reloaded,91774413,281576461,189802048,32.60,"3,603",25471,"May 15, 2003",Warner Bros.
73,The Amazing Spider-Man 2,91608337,202853933,111245596,45.20,"4,324",21186,"May 2, 2014",Sony Pictures Releasing
74,Aladdin,91500929,355559216,264058287,25.70,"4,476",20442,"May 24, 2019",Walt Disney Studios Motion Pictures
75,It Chapter Two,91062152,211593228,120531076,43,"4,570",19926,"Sep 6, 2019",Warner Bros.
76,X-Men: Days of Future Past,90823660,233921534,143097874,38.80,"3,996",22728,"May 23, 2014",Twentieth Century Fox
77,Inside Out,90440272,356461711,266021439,25.40,"3,946",22919,"Jun 19, 2015",Walt Disney Studios Motion Pictures
78,Harry Potter and the Sorcerer's Stone,90294621,317575550,227280929,28.40,"3,672",24590,"Nov 16, 2001",Warner Bros.
79,Pirates of the Caribbean: On Stranger Tides,90151958,241071802,150919844,37.40,"4,155",21697,"May 20, 2011",Walt Disney Studios Motion Pictures
80,Logan,88411916,226277068,137865152,39.10,"4,071",21717,"Mar 3, 2017",Twentieth Century Fox
81,Skyfall,88364714,304360277,215995563,29,"3,505",25211,"Nov 9, 2012",Sony Pictures Releasing
82,Harry Potter and the Chamber of Secrets,88357488,261988482,173630994,33.70,"3,682",23997,"Nov 15, 2002",Warner Bros.
83,Spider-Man 2,88156227,373585825,285429598,23.60,"4,152",21232,"Jun 30, 2004",Sony Pictures Releasing
84,Fast Five,86198765,209837675,123638910,41.10,"3,644",23654,"Apr 29, 2011",Universal Pictures
85,The Hangover Part II,85946294,254464305,168518011,33.80,"3,615",23774,"May 26, 2011",Warner Bros.
86,Thor: The Dark World,85737841,206362140,120624299,41.60,"3,841",22321,"Nov 8, 2013",Walt Disney Studios Motion Pictures
87,X2: X-Men United,85558731,214949694,129390963,39.80,"3,741",22870,"May 2, 2003",Twentieth Century Fox
88,Fifty Shades of Grey,85171450,166167230,80995780,51.30,"3,646",23360,"Feb 13, 2015",Universal Pictures
89,Doctor Strange,85058311,232641920,147583609,36.60,"3,882",21910,"Nov 4, 2016",Walt Disney Studios Motion Pictures
90,X-Men Origins: Wolverine,85058003,179883157,94825154,47.30,"4,099",20750,"May 1, 2009",Twentieth Century Fox
91,The Hobbit: An Unexpected Journey,84617303,303003568,218386265,27.90,"4,045",20918,"Dec 14, 2012",Warner Bros.
92,Solo: A Star Wars Story,84420489,213767512,129347023,39.50,"4,381",19269,"May 25, 2018",Walt Disney Studios Motion Pictures
93,The Passion of the Christ,83848082,370274604,286426522,22.60,"3,043",27554,"Feb 25, 2004",Newmarket Films
94,Despicable Me 2,83517315,368065385,284548070,22.70,"3,997",20895,"Jul 3, 2013",Universal Pictures
95,Monsters University,82429469,268492764,186063295,30.70,"4,004",20586,"Jun 21, 2013",Walt Disney Studios Motion Pictures
96,Venom,80255756,213515506,133259750,37.60,"4,250",18883,"Oct 5, 2018",Sony Pictures Releasing
97,Star Wars: Episode II - Attack of the Clones,80027814,302191252,222163438,26.50,"3,161",25317,"May 16, 2002",Twentieth Century Fox
98,Oz the Great and Powerful,79110453,234911825,155801372,33.70,"3,912",20222,"Mar 8, 2013",Walt Disney Studios Motion Pictures
99,Harry Potter and the Half-Blood Prince,77835727,301959197,224123470,25.80,"4,325",17996,"Jul 15, 2009",Warner Bros.
100,I Am Legend,77211321,256393010,179181689,30.10,"3,606",21411,"Dec 14, 2007",Warner Bros.
101,Harry Potter and the Order of the Phoenix,77108414,292004738,214896324,26.40,"4,285",17994,"Jul 11, 2007",Warner Bros.
102,The Da Vinci Code,77073388,217536138,140462750,35.40,"3,735",20635,"May 19, 2006",Sony Pictures Releasing
103,Avatar,77025481,749766139,672740658,10.30,"3,452",22313,"Dec 18, 2009",Twentieth Century Fox
104,Halloween,76221545,159342015,83120470,47.80,"3,928",19404,"Oct 19, 2018",Universal Pictures
105,Ant-Man and the Wasp,75812205,216648740,140836535,35,"4,206",18024,"Jul 6, 2018",Walt Disney Studios Motion Pictures
106,Star Trek,75204289,257730019,182525730,29.20,"3,849",19538,"May 8, 2009",Paramount Pictures
107,Zootopia,75063401,341268248,266204847,22,"3,827",19614,"Mar 4, 2016",Walt Disney Studios Motion Pictures
108,Fantastic Beasts and Where to Find Them,74403387,234037575,159634188,31.80,"4,144",17954,"Nov 18, 2016",Warner Bros.
109,The Simpsons Movie,74036787,183135014,109098227,40.40,"3,922",18877,"Jul 27, 2007",Twentieth Century Fox
110,The Hobbit: The Desolation of Smaug,73645197,258366855,184721658,28.50,"3,903",18868,"Dec 13, 2013",Warner Bros.
111,Austin Powers in Goldmember,73071188,213307889,140236701,34.30,"3,613",20224,"Jul 26, 2002",New Line Cinema
112,The Lord of the Rings: The Return of the King,72629713,377027325,304397612,19.30,"3,703",19613,"Dec 17, 2003",New Line Cinema
113,Dawn of the Planet of the Apes,72611427,208545589,135934162,34.80,"3,967",18303,"Jul 11, 2014",Twentieth Century Fox
114,Despicable Me 3,72434025,264624300,192190275,27.40,"4,529",15993,"Jun 30, 2017",Universal Pictures
115,The Lost World: Jurassic Park,72132785,229086679,156953894,31.50,"3,281",21985,"May 23, 1997",Universal Pictures
116,Us,71117625,175084580,103966955,40.60,"3,741",19010,"Mar 22, 2019",Universal Pictures
117,Fast & Furious,70950500,155064265,84113765,45.80,"3,461",20500,"Apr 3, 2009",Universal Pictures
118,300,70885301,210614939,139729638,33.70,"3,103",22844,"Mar 9, 2007",Warner Bros.
119,Shrek Forever After,70838207,238736787,167898580,29.70,"4,359",16251,"May 21, 2010",DreamWorks
120,Transformers,70502384,319246193,248743809,22.10,"4,011",17577,"Jul 3, 2007",DreamWorks
121,The Incredibles,70467623,261441092,190973469,27,"3,933",17917,"Nov 5, 2004",Walt Disney Studios Motion Pictures
122,Spectre,70403148,200074609,129671461,35.20,"3,929",17918,"Nov 6, 2015",Sony Pictures Releasing
123,Finding Nemo,70251710,339714978,269463268,20.70,"3,374",20821,"May 30, 2003",Walt Disney Studios Motion Pictures
124,The Lorax,70217070,214030500,143813430,32.80,"3,729",18830,"Mar 2, 2012",Universal Pictures
125,Star Trek Into Darkness,70165559,228778661,158613102,30.70,"3,868",18140,"May 16, 2013",Paramount Pictures
126,Twilight,69637740,192769854,123132114,36.10,"3,419",20367,"Nov 21, 2008",Summit Entertainment
127,Maleficent,69431298,241410378,171979080,28.80,"3,948",17586,"May 30, 2014",Walt Disney Studios Motion Pictures
128,The Bourne Ultimatum,69283690,227471070,158187380,30.50,"3,660",18929,"Aug 3, 2007",Universal Pictures
129,Pitch Perfect 2,69216890,184296230,115079340,37.60,"3,473",19930,"May 15, 2015",Universal Pictures
130,The Lego Movie,69050279,257760692,188710413,26.80,"3,775",18291,"Feb 7, 2014",Warner Bros.
131,The Day After Tomorrow,68743584,186740799,117997215,36.80,"3,425",20071,"May 28, 2004",Twentieth Century Fox
132,Planet of the Apes,68532960,180011740,111478780,38.10,"3,500",19580,"Jul 27, 2001",Twentieth Century Fox
133,The Mummy Returns,68139035,202019785,133880750,33.70,"3,401",20035,"May 4, 2001",Universal Pictures
134,Up,68108790,293004164,224895374,23.20,"3,766",18085,"May 29, 2009",Walt Disney Studios Motion Pictures
135,Ice Age: The Meltdown,68033544,195330621,127297077,34.80,"3,964",17162,"Mar 31, 2006",Twentieth Century Fox
136,Bruce Almighty,67953330,242829261,174875931,28,"3,483",19510,"May 23, 2003",Universal Pictures
137,Cinderella,67877361,201151353,133273992,33.70,"3,845",17653,"Mar 13, 2015",Walt Disney Studios Motion Pictures
138,Aquaman,67873522,335061807,267188285,20.30,"4,125",16454,"Dec 21, 2018",Warner Bros.
139,Dr. Seuss' The Grinch,67572855,270620950,203048095,25,"4,141",16318,"Nov 9, 2018",Universal Pictures
140,Quantum of Solace,67528882,168368427,100839545,40.10,"3,451",19567,"Nov 14, 2008",Sony Pictures Releasing
141,Rush Hour 2,67408222,226164286,158756064,29.80,"3,118",21619,"Aug 3, 2001",New Line Cinema
142,World War Z,66411834,202359711,135947877,32.80,"3,607",18411,"Jun 21, 2013",Paramount Pictures
143,Brave,66323594,237283207,170959613,28,"4,164",15927,"Jun 22, 2012",Walt Disney Studios Motion Pictures
