Rank,Release,Opening_Rev,Total_Gross,Non_opening_rev,Percent_of_Total,Theaters,Average_Theatre_Rev,Date,Distributor
1,Avengers: Endgame,357115007,858373000,501257993,41.60,4662,76601,26/04/2019,Walt Disney Studios Motion Pictures
2,Avengers: Infinity War,257698183,678815482,421117299,38,4474,57599,27/04/2018,Walt Disney Studios Motion Pictures
3,Star Wars: Episode VII - The Force Awakens,247966675,936662225,688695550,26.50,4134,59982,18/12/2015,Walt Disney Studios Motion Pictures
4,Star Wars: Episode VIII - The Last Jedi,220009584,620181382,400171798,35.50,4232,51987,15/12/2017,Walt Disney Studios Motion Pictures
5,Jurassic World,208806270,652270625,443464355,32,4274,48855,12/06/2015,Universal Pictures
6,The Avengers,207438708,623357910,415919202,33.30,4349,47698,04/05/2012,Walt Disney Studios Motion Pictures
7,Black Panther,202003951,700059566,498055615,28.90,4020,50249,16/02/2018,Walt Disney Studios Motion Pictures
8,The Lion King,191770759,543638043,351867284,35.30,4725,40586,19/07/2019,Walt Disney Studios Motion Pictures
9,Avengers: Age of Ultron,191271109,459005868,267734759,41.70,4276,44731,01/05/2015,Walt Disney Studios Motion Pictures
10,Incredibles 2,182687905,608581744,425893839,30,4410,41425,15/06/2018,Walt Disney Studios Motion Pictures
11,Captain America: Civil War,179139142,408084349,228945207,43.90,4226,42389,06/05/2016,Walt Disney Studios Motion Pictures
12,Star Wars: Episode IX - The Rise of Skywalker,177383864,515049789,337665925,34.40,4406,40259,20/12/2019,Walt Disney Studios Motion Pictures
13,Beauty and the Beast,174750616,504014165,329263549,34.70,4210,41508,17/03/2017,Walt Disney Studios Motion Pictures
14,Iron Man 3,174144585,409013994,234869409,42.60,4253,40946,03/05/2013,Walt Disney Studios Motion Pictures
15,Harry Potter and the Deathly Hallows: Part 2,169189427,381011219,211821792,44.40,4375,38671,15/07/2011,Warner Bros.
16,Batman v Superman: Dawn of Justice,166007347,330360194,164352847,50.20,4242,39134,25/03/2016,Warner Bros.
17,The Dark Knight Rises,160887295,448139099,287251804,35.90,4404,36532,20/07/2012,Warner Bros.
18,The Dark Knight,158411483,533345358,374933875,29.70,4366,36282,18/07/2008,Warner Bros.
19,The Hunger Games: Catching Fire,158074286,424668047,266593761,37.20,4163,37971,22/11/2013,Lionsgate
20,Rogue One: A Star Wars Story,155081681,532177324,377095643,29.10,4157,37306,16/12/2016,Walt Disney Studios Motion Pictures
21,Captain Marvel,153433423,426829839,273396416,36,4310,35599,08/03/2019,Walt Disney Studios Motion Pictures
22,The Hunger Games,152535747,408010692,255474945,37.40,4137,36871,23/03/2012,Lionsgate
23,Spider-Man 3,151116516,336530303,185413787,44.90,4252,35540,04/05/2007,Sony Pictures Releasing
24,Jurassic World: Fallen Kingdom,148024610,417719760,269695150,35.40,4475,33078,22/06/2018,Universal Pictures
25,Furious 7,147187040,353007020,205819980,41.70,4004,36760,03/04/2015,Universal Pictures
26,Guardians of the Galaxy Vol. 2,146510104,389813101,243302997,37.60,4347,33703,05/05/2017,Walt Disney Studios Motion Pictures
27,The Twilight Saga: New Moon,142839137,296623634,153784497,48.20,4024,35496,20/11/2009,Summit Entertainment
28,The Twilight Saga: Breaking Dawn - Part 2,141067634,292324737,151257103,48.30,4070,34660,16/11/2012,Lionsgate
29,The Twilight Saga: Breaking Dawn - Part 1,138122261,281287133,143164872,49.10,4061,34011,18/11/2011,Summit Entertainment
30,Pirates of the Caribbean: Dead Man's Chest,135634554,423315812,287681258,32,4133,32817,07/07/2006,Walt Disney Studios Motion Pictures
