Rank,Release,Opening ($),Total Gross ($),Non-opening ($),% of Total,Theaters,Average ($),Date,Distributor,Average ($)
1,Avengers: Endgame,"357,115,007","858,373,000",501257993,41.60,"4,662","76,601","Apr 26, 2019",Walt Disney Studios Motion Pictures,"76,601"
2,Avengers: Infinity War,"257,698,183","678,815,482",421117299,38,"4,474","57,599","Apr 27, 2018",Walt Disney Studios Motion Pictures,"57,599"
3,Star Wars: Episode VII - The Force Awakens,"247,966,675","936,662,225",688695550,26.50,"4,134","59,982","Dec 18, 2015",Walt Disney Studios Motion Pictures,"59,982"
4,Star Wars: Episode VIII - The Last Jedi,"220,009,584","620,181,382",400171798,35.50,"4,232","51,987","Dec 15, 2017",Walt Disney Studios Motion Pictures,"51,987"
5,Jurassic World,"208,806,270","652,270,625",443464355,32,"4,274","48,855","Jun 12, 2015",Universal Pictures,"48,855"
6,The Avengers,"207,438,708","623,357,910",415919202,33.30,"4,349","47,698","May 4, 2012",Walt Disney Studios Motion Pictures,"47,698"
7,Black Panther,"202,003,951","700,059,566",498055615,28.90,"4,020","50,249","Feb 16, 2018",Walt Disney Studios Motion Pictures,"50,249"
8,The Lion King,"191,770,759","543,638,043",351867284,35.30,"4,725","40,586","Jul 19, 2019",Walt Disney Studios Motion Pictures,"40,586"
9,Avengers: Age of Ultron,"191,271,109","459,005,868",267734759,41.70,"4,276","44,731","May 1, 2015",Walt Disney Studios Motion Pictures,"44,731"
10,Incredibles 2,"182,687,905","608,581,744",425893839,30,"4,410","41,425","Jun 15, 2018",Walt Disney Studios Motion Pictures,"41,425"
11,Captain America: Civil War,"179,139,142","408,084,349",228945207,43.90,"4,226","42,389","May 6, 2016",Walt Disney Studios Motion Pictures,"42,389"
12,Star Wars: Episode IX - The Rise of Skywalker,"177,383,864","515,049,789",337665925,34.40,"4,406","40,259","Dec 20, 2019",Walt Disney Studios Motion Pictures,"40,259"
13,Beauty and the Beast,"174,750,616","504,014,165",329263549,34.70,"4,210","41,508","Mar 17, 2017",Walt Disney Studios Motion Pictures,"41,508"
14,Iron Man 3,"174,144,585","409,013,994",234869409,42.60,"4,253","40,946","May 3, 2013",Walt Disney Studios Motion Pictures,"40,946"
15,Harry Potter and the Deathly Hallows: Part 2,"169,189,427","381,011,219",211821792,44.40,"4,375","38,671","Jul 15, 2011",Warner Bros.,"38,671"
16,Batman v Superman: Dawn of Justice,"166,007,347","330,360,194",164352847,50.20,"4,242","39,134","Mar 25, 2016",Warner Bros.,"39,134"
17,The Dark Knight Rises,"160,887,295","448,139,099",287251804,35.90,"4,404","36,532","Jul 20, 2012",Warner Bros.,"36,532"
18,The Dark Knight,"158,411,483","533,345,358",374933875,29.70,"4,366","36,282","Jul 18, 2008",Warner Bros.,"36,282"
19,The Hunger Games: Catching Fire,"158,074,286","424,668,047",266593761,37.20,"4,163","37,971","Nov 22, 2013",Lionsgate,"37,971"
20,Rogue One: A Star Wars Story,"155,081,681","532,177,324",377095643,29.10,"4,157","37,306","Dec 16, 2016",Walt Disney Studios Motion Pictures,"37,306"
21,Captain Marvel,"153,433,423","426,829,839",273396416,36,"4,310","35,599","Mar 8, 2019",Walt Disney Studios Motion Pictures,"35,599"
22,The Hunger Games,"152,535,747","408,010,692",255474945,37.40,"4,137","36,871","Mar 23, 2012",Lionsgate,"36,871"
23,Spider-Man 3,"151,116,516","336,530,303",185413787,44.90,"4,252","35,540","May 4, 2007",Sony Pictures Releasing,"35,540"
24,Jurassic World: Fallen Kingdom,"148,024,610","417,719,760",269695150,35.40,"4,475","33,078","Jun 22, 2018",Universal Pictures,"33,078"
25,Furious 7,"147,187,040","353,007,020",205819980,41.70,"4,004","36,760","Apr 3, 2015",Universal Pictures,"36,760"
26,Guardians of the Galaxy Vol. 2,"146,510,104","389,813,101",243302997,37.60,"4,347","33,703","May 5, 2017",Walt Disney Studios Motion Pictures,"33,703"
27,The Twilight Saga: New Moon,"142,839,137","296,623,634",153784497,48.20,"4,024","35,496","Nov 20, 2009",Summit Entertainment,"35,496"
28,The Twilight Saga: Breaking Dawn - Part 2,"141,067,634","292,324,737",151257103,48.30,"4,070","34,660","Nov 16, 2012",Lionsgate,"34,660"
29,The Twilight Saga: Breaking Dawn - Part 1,"138,122,261","281,287,133",143164872,49.10,"4,061","34,011","Nov 18, 2011",Summit Entertainment,"34,011"
30,Pirates of the Caribbean: Dead Man's Chest,"135,634,554","423,315,812",287681258,32,"4,133","32,817","Jul 7, 2006",Walt Disney Studios Motion Pictures,"32,817"
31,Finding Dory,"135,060,273","486,295,561",351235288,27.80,"4,305","31,372","Jun 17, 2016",Walt Disney Studios Motion Pictures,"31,372"
32,Suicide Squad,"133,682,248","325,100,054",191417806,41.10,"4,255","31,417","Aug 5, 2016",Warner Bros.,"31,417"
33,Deadpool,"132,434,639","363,070,709",230636070,36.50,"3,558","37,221","Feb 12, 2016",Twentieth Century Fox,"37,221"
34,Frozen II,"130,263,358","477,284,992",347021634,27.30,"4,440","29,338","Nov 22, 2019",Walt Disney Studios Motion Pictures,"29,338"
35,Iron Man 2,"128,122,480","312,433,331",184310851,41,"4,380","29,251","May 7, 2010",Paramount Pictures,"29,251"
36,Deadpool 2,"125,507,153","318,491,426",192984273,39.40,"4,349","28,858","May 18, 2018",Twentieth Century Fox,"28,858"
37,Harry Potter and the Deathly Hallows: Part 1,"125,017,372","295,983,305",170965933,42.20,"4,125","30,307","Nov 19, 2010",Warner Bros.,"30,307"
38,It,"123,403,419","327,481,748",204078329,37.70,"4,103","30,076","Sep 8, 2017",Warner Bros.,"30,076"
39,Thor: Ragnarok,"122,744,989","315,058,289",192313300,39,"4,080","30,084","Nov 3, 2017",Walt Disney Studios Motion Pictures,"30,084"
40,The Hunger Games: Mockingjay - Part 1,"121,897,634","337,135,885",215238251,36.20,"4,151","29,365","Nov 21, 2014",Lionsgate,"29,365"
