movie_title,rating,genre,directors,runtime_in_minutes,studio_name,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count
01:54,NR,"Art House & International, Drama",Yan England,106,Breaking Glass Pictures,Rotten,57,7,Spilled,57,95,3,4,3
02:22,PG-13,"Drama, Mystery & Suspense",Paul Currie,99,Magnolia Pictures,Rotten,22,9,Spilled,37,574,1,2,7
11:14,R,"Comedy, Drama, Mystery & Suspense",Greg Marcks,86,New Line Cinema,Fresh,92,12,Upright,76,23550,1,11,1
11:55,NR,Drama,"Ari J. Issler, Ben Snyder",80,Gravitas Ventures,Fresh,100,5,Upright,81,378,3,5,0
1,NR,"Horror, Mystery & Suspense",Dennis Iliadis,95,IFC Films,Fresh,82,11,Spilled,39,1338,3,9,2
3,NR,"Art House & International, Comedy, Drama, Romance",Eduardo Quispe,119,Strand Releasing,Rotten,45,31,Spilled,55,1277,14,14,17
9,PG-13,"Action & Adventure, Animation, Drama, Science Fiction & Fantasy",Shane Acker,80,Focus Features,Rotten,57,183,Spilled,56,282084,41,104,79
10,R,"Comedy, Romance",Blake Edwards,118,Waner Bros.,Fresh,68,22,Spilled,53,14670,2,15,7
12,PG-13,"Art House & International, Drama, Mystery & Suspense",Nikita Mikhalkov,180,Sony Pictures Classics,Certified Fresh,76,58,Upright,84,47348,24,44,14
13,R,"Drama, Mystery & Suspense",Géla Babluani,97,Anchor Bay,Rotten,8,13,Spilled,34,5621,7,1,12
21,PG-13,"Drama, Mystery & Suspense",Robert Luketic,122,Sony/Columbia Pictures,Rotten,36,169,Upright,66,367740,40,60,109
31,R,Horror,Rob Zombie,103,Bow and Arrow Entertainment,Rotten,47,45,Spilled,35,4479,8,21,24
42,PG-13,Drama,Brian Helgeland,128,Warner Bros. Pictures,Certified Fresh,80,189,Upright,85,119509,49,151,38
54,R,Drama,Mark Christopher,92,Miramax Films,Rotten,17,69,Spilled,43,31426,15,12,57
211,R,"Action & Adventure, Drama",York Alec Shackleton,83,Momentum Pictures,Rotten,5,22,Spilled,9,167,7,1,21
300,R,"Action & Adventure, Drama",Zack Snyder,116,Warner Bros. Pictures,Fresh,60,231,Upright,89,1434714,50,139,92
360,R,"Drama, Romance",Fernando Meirelles,115,Magnolia Pictures,Rotten,20,75,Spilled,32,4259,26,15,60
808,NR,Documentary,Alex Dunn,94,You Know Films,Fresh,100,6,Upright,64,91,2,6,0
1408,PG-13,"Horror, Mystery & Suspense",Mikael Håfström,94,MGM/Dimension,Certified Fresh,79,175,Upright,61,745356,41,139,36
1776,G,"Classics, Drama, Musical & Performing Arts",Peter H. Hunt,140,Sony Pictures Home Entertainment,Fresh,69,16,Upright,84,8472,2,11,5
1911,R,Drama,"Jackie Chan, Li Zhang",125,Variance Films,Rotten,8,24,Spilled,30,1481,11,2,22
1922,NR,"Drama, Mystery & Suspense",Zak Hilditch,101,Netflix,Certified Fresh,90,40,Spilled,57,1679,7,36,4
1941,PG,"Action & Adventure, Comedy",Steven Spielberg,119,MCA Universal Home Video,Rotten,39,23,Spilled,48,24076,1,9,14
1982,R,Drama,Tommy Oliver,86,LionsGate Entertainment,Fresh,78,9,Upright,61,89,3,7,2
1984,R,"Drama, Science Fiction & Fantasy, Romance",Michael Radford,120,Live Home Video,Fresh,79,24,Upright,71,56091,2,19,5
1985,NR,Drama,Yen Tan,85,Wolfe Releasing,Certified Fresh,95,43,Upright,80,258,11,41,2
2010,PG,"Mystery & Suspense, Science Fiction & Fantasy",Peter Hyams,114,MGM/UA Entertainment Company,Fresh,65,34,Upright,61,25544,7,22,12
2012,PG-13,"Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy",Roland Emmerich,158,Sony Pictures/Columbia,Rotten,39,242,Spilled,47,508140,48,95,147
11-11-11,PG-13,"Drama, Horror",Darren Lynn Bousman,95,Rocket Releasing,Rotten,7,14,Spilled,17,3363,3,1,13
11/8/16,NR,Documentary,"Duane Andersen, Yung Chang, Garth Donovan, Vikram Gandhi, Raul Gasteazoro, Andrew Beck Grace, Jamie Goncalves, Alma Har'el, Daniel Junge, Alison Klayman, Martha Shane, Ciara Lacy, Elaine McMillion Sheldon, Bassam Tariq, Don Argott, Sheena M. Joyce, Petra Epperlein, Michael Tucker",104,Cinetic Media,Fresh,75,12,Upright,61,99,6,9,3
22 July,R,Drama,Paul Greengrass,143,Netflix,Certified Fresh,80,122,Upright,69,745,25,98,24
9/11,R,Drama,Martin Guigui,94,Atlas Distribution,Rotten,11,9,Spilled,42,781,5,1,8
!Women Art Revolution,NR,"Documentary, Musical & Performing Arts",Lynn Hershman-Leeson,83,Zeitgeist Films,Fresh,84,25,Upright,60,218,12,21,4
...And God Spoke (The Making of '...And God Spoke'),R,"Comedy, Documentary",Arthur Borman,82,Lionsgate,Fresh,100,8,Upright,74,1268,0,8,0
...And Justice for All,R,"Comedy, Drama, Mystery & Suspense",Norman Jewison,119,Columbia Pictures,Fresh,81,27,Upright,80,19040,7,22,5
